day,eth_wallets,eth_acounts_deployed
2023-07-08 00:00:00.000 UTC,0x175a1731c6ac0f13cc660691db5bb67169d173b3,1
2023-07-14 00:00:00.000 UTC,Biconomy,1
2023-07-06 00:00:00.000 UTC,Zerodev,1
2023-07-07 00:00:00.000 UTC,0x175a1731c6ac0f13cc660691db5bb67169d173b3,1
2023-08-24 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-07-13 00:00:00.000 UTC,Zerodev,87
2023-07-28 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-07-10 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-08-19 00:00:00.000 UTC,Zerodev,1
2023-07-10 00:00:00.000 UTC,Zerodev,34
2023-07-24 00:00:00.000 UTC,Zerodev,1
2023-07-08 00:00:00.000 UTC,0x0a5c68ed33bde145bf7a45db0530526fb2dd2484,1
2023-07-29 00:00:00.000 UTC,Biconomy,1
2023-06-30 00:00:00.000 UTC,Zerodev,1
2023-08-05 00:00:00.000 UTC,Zerodev,2
2023-08-23 00:00:00.000 UTC,Zerodev,1
2023-08-24 00:00:00.000 UTC,0xcc9293b9ec50b049e1a48d7260befd470da0e282,1
2023-08-20 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-05-28 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,1
2023-07-07 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,2
2023-07-16 00:00:00.000 UTC,Zerodev,1
2023-08-04 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,1
2023-07-07 00:00:00.000 UTC,0x0a5c68ed33bde145bf7a45db0530526fb2dd2484,1
2023-07-11 00:00:00.000 UTC,0x175a1731c6ac0f13cc660691db5bb67169d173b3,1
2023-06-14 00:00:00.000 UTC,0x15ba39375ee2ab563e8873c8390be6f2e2f50232,4
2023-05-20 00:00:00.000 UTC,Zerodev,1
2023-08-08 00:00:00.000 UTC,Zerodev,1
2023-07-23 00:00:00.000 UTC,Zerodev,1
2023-06-30 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,1
2023-07-28 00:00:00.000 UTC,Zerodev,2
2023-06-26 00:00:00.000 UTC,Zerodev,2
2023-06-02 00:00:00.000 UTC,Zerodev,1
2023-07-12 00:00:00.000 UTC,Zerodev,64
2023-07-12 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,1
2023-07-11 00:00:00.000 UTC,Zerodev,10
2023-08-11 00:00:00.000 UTC,0xcc9293b9ec50b049e1a48d7260befd470da0e282,1
2023-08-21 00:00:00.000 UTC,Zerodev,2
2023-07-17 00:00:00.000 UTC,Zerodev,1
2023-07-06 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,2
2023-07-05 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-08-09 00:00:00.000 UTC,Zerodev,1
2023-06-05 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,2
2023-08-06 00:00:00.000 UTC,Zerodev,2
2023-07-14 00:00:00.000 UTC,Zerodev,3
2023-08-04 00:00:00.000 UTC,Zerodev,1
2023-08-20 00:00:00.000 UTC,Zerodev,3
2023-07-11 00:00:00.000 UTC,0x0a5c68ed33bde145bf7a45db0530526fb2dd2484,1
2023-07-07 00:00:00.000 UTC,0xf48bba9d9d86fd338f98d96d3e5af53f89ffdccc,1
2023-05-29 00:00:00.000 UTC,Biconomy,1
2023-08-24 00:00:00.000 UTC,Zerodev,2
2023-05-20 00:00:00.000 UTC,Safe,1
2023-08-22 00:00:00.000 UTC,Zerodev,29
2023-06-21 00:00:00.000 UTC,Zerodev,1
2023-07-24 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-08-10 00:00:00.000 UTC,Zerodev,2
2023-05-26 00:00:00.000 UTC,Zerodev,1
2023-07-08 00:00:00.000 UTC,0xf48bba9d9d86fd338f98d96d3e5af53f89ffdccc,1
2023-06-23 00:00:00.000 UTC,0x9406cc6185a346906296840746125a0e44976454,1
2023-07-04 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,1
2023-07-15 00:00:00.000 UTC,Zerodev,2
2023-07-25 00:00:00.000 UTC,Zerodev,1
2023-08-25 00:00:00.000 UTC,0xcc9293b9ec50b049e1a48d7260befd470da0e282,1
2023-08-15 00:00:00.000 UTC,Biconomy,1
2023-06-13 00:00:00.000 UTC,0x15ba39375ee2ab563e8873c8390be6f2e2f50232,1
2023-07-09 00:00:00.000 UTC,Zerodev,36
2023-07-08 00:00:00.000 UTC,Zerodev,5
2023-07-11 00:00:00.000 UTC,0xf48bba9d9d86fd338f98d96d3e5af53f89ffdccc,1
2023-07-25 00:00:00.000 UTC,0xb35fc20cd35f65f14a89b6f2fa0b7ab7bed4eb11,2